2024-08-27Mirinda                             1510   14
2024-08-27Mirinda                             1560   12
2024-08-28Torasso                              940    8
2024-08-29Pepsi Cola                          1210   10
2024-08-30Mirinda                             1520    1
2024-09-01Mirinda                             1550   15
2024-09-01Sprite                               810    4
2024-09-02Coca Cola                           1100    4
2024-09-02Pepsi Cola                          1220   13
2024-09-02Torasso                              910    5
2024-09-02Torasso                              920    3
2024-09-03Coca Cola                           1020    8
2024-09-03Mirinda                             1570    7
2024-09-03Mirinda                             1590    2
2024-09-04Pepsi Cola                          1220   13
2024-09-05Mirinda                             1500    3
2024-09-05Pepsi Cola                          1300    5
2024-09-06Coca Cola                           1080    1
2024-09-06Sprite                               860   12
2024-09-06Torasso                              930    3
2024-09-07Coca Cola                           1080   14
2024-09-07Sprite                               870   13
2024-09-08Coca Cola                           1040   10
2024-09-08Mirinda                             1580    2
2024-09-08Pepsi Cola                          1240    9
2024-09-09Mirinda                             1500    3
2024-09-09Sprite                               850    9
2024-09-10Mirinda                             1590    8
2024-09-10Pepsi Cola                          1250   12
2024-09-11Sprite                               810    6
2024-09-11Sprite                               820   14
2024-09-12Coca Cola                           1080    4
2024-09-13Mirinda                             1580    5
2024-09-13Pepsi Cola                          1250   13
2024-09-14Coca Cola                           1080   15
2024-09-14Pepsi Cola                          1270   14
2024-09-15Coca Cola                           1100    1
2024-09-15Mirinda                             1500   13
2024-09-15Sprite                               870   14
2024-09-15Torasso                              900   13
