Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Norte,Cabernet Sauvignon,2020,1,4772,14041795.38,9346506.28
Sucursal Norte,Merlot,2020,1,4051,10737327.62,6560342.34
Sucursal Norte,Pinot Noir,2020,1,3034,10172544.33,6429176.65
Sucursal Norte,Chardonnay,2020,1,4635,13576383.23,8271185.52
Sucursal Norte,Sauvignon Blanc,2020,1,3369,9314441.68,6658537.92
Sucursal Centro,Cabernet Sauvignon,2020,1,4942,15495280.06,9792548.77
Sucursal Centro,Merlot,2020,1,4032,10843961.85,8660591.5
Sucursal Centro,Pinot Noir,2020,1,3032,11468176.2,7022030.53
Sucursal Centro,Chardonnay,2020,1,4722,14078146.83,9848734.57
Sucursal Centro,Sauvignon Blanc,2020,1,3637,9430830.31,5769675.24
Sucursal Sur,Cabernet Sauvignon,2020,1,4617,13614282.08,8883564.87
Sucursal Sur,Merlot,2020,1,3702,9769908.64,6571812.5
Sucursal Sur,Pinot Noir,2020,1,2767,10193578.93,6855155.41
Sucursal Sur,Chardonnay,2020,1,4637,12097230.75,9495513.14
Sucursal Sur,Sauvignon Blanc,2020,1,3188,8167249.03,6330144.71
Sucursal Norte,Cabernet Sauvignon,2020,2,4764,13113955.95,8657629.09
Sucursal Norte,Merlot,2020,2,3875,10333086.64,7869044.55
Sucursal Norte,Pinot Noir,2020,2,3027,10815404.86,6875341.15
Sucursal Norte,Chardonnay,2020,2,4531,12837019.33,9670819.16
Sucursal Norte,Sauvignon Blanc,2020,2,3520,9669594.38,6457440.2
Sucursal Centro,Cabernet Sauvignon,2020,2,4671,15331517.15,11413069.25
Sucursal Centro,Merlot,2020,2,4024,10643275.11,7751638.45
Sucursal Centro,Pinot Noir,2020,2,2745,9774808.03,6011844.54
Sucursal Centro,Chardonnay,2020,2,4166,10780924.69,8053286.01
Sucursal Centro,Sauvignon Blanc,2020,2,3836,9963254.08,6326777.53
Sucursal Sur,Cabernet Sauvignon,2020,2,4925,15433045.65,10332616.58
Sucursal Sur,Merlot,2020,2,3964,9711035.18,7217740.95
Sucursal Sur,Pinot Noir,2020,2,3212,11641945.39,8281721.88
Sucursal Sur,Chardonnay,2020,2,4625,12851607.85,9958199.58
Sucursal Sur,Sauvignon Blanc,2020,2,3807,9358765.25,5697106.84
Sucursal Norte,Cabernet Sauvignon,2020,3,4721,15534220.03,10597282.63
Sucursal Norte,Merlot,2020,3,4044,10318355.34,8112587.66
Sucursal Norte,Pinot Noir,2020,3,2868,10056823.47,7615137.07
Sucursal Norte,Chardonnay,2020,3,4066,10495188.16,6698253.28
Sucursal Norte,Sauvignon Blanc,2020,3,3685,9335945.97,6089146.25
Sucursal Centro,Cabernet Sauvignon,2020,3,5444,15859471.24,11229203.19
Sucursal Centro,Merlot,2020,3,3979,9783194.04,6554080.77
Sucursal Centro,Pinot Noir,2020,3,3039,9875385.65,7822958.13
Sucursal Centro,Chardonnay,2020,3,4376,12524279.01,9399781.91
Sucursal Centro,Sauvignon Blanc,2020,3,3523,9347663.56,6256509.89
Sucursal Sur,Cabernet Sauvignon,2020,3,4535,13647923.52,9740185.93
Sucursal Sur,Merlot,2020,3,3847,8939124.24,5580960.64
Sucursal Sur,Pinot Noir,2020,3,3030,9879697.7,6028672.76
Sucursal Sur,Chardonnay,2020,3,4234,10987674.76,8338276.21
Sucursal Sur,Sauvignon Blanc,2020,3,3358,8910524.84,6120633.65
Sucursal Norte,Cabernet Sauvignon,2020,4,5406,15551997.92,11903687.54
Sucursal Norte,Merlot,2020,4,3861,10369178.09,6519686.75
Sucursal Norte,Pinot Noir,2020,4,3214,12358858.39,7426120.65
Sucursal Norte,Chardonnay,2020,4,4343,13058629.1,9537950.11
Sucursal Norte,Sauvignon Blanc,2020,4,3219,7689130.68,4829079.73
Sucursal Centro,Cabernet Sauvignon,2020,4,5087,14616276.97,10299356.63
Sucursal Centro,Merlot,2020,4,3772,9633419.56,6872446.18
Sucursal Centro,Pinot Noir,2020,4,3015,11523623.97,7114531.76
Sucursal Centro,Chardonnay,2020,4,4615,13139735.74,9695891.22
Sucursal Centro,Sauvignon Blanc,2020,4,3548,8785392.29,5567099.59
Sucursal Sur,Cabernet Sauvignon,2020,4,5492,16363259.67,12735895.68
Sucursal Sur,Merlot,2020,4,4112,9402290.89,6923778.04
Sucursal Sur,Pinot Noir,2020,4,2778,10217808.55,6574680.65
Sucursal Sur,Chardonnay,2020,4,4861,13659349.2,9481312.52
Sucursal Sur,Sauvignon Blanc,2020,4,3583,9390313.56,7030463.68
Sucursal Norte,Cabernet Sauvignon,2020,5,4642,13053132.13,9753433.26
Sucursal Norte,Merlot,2020,5,3785,8588148.18,6564941.73
Sucursal Norte,Pinot Noir,2020,5,2990,11384898.32,8256673.87
Sucursal Norte,Chardonnay,2020,5,4225,12597640.86,9160974.06
Sucursal Norte,Sauvignon Blanc,2020,5,3773,10666184.8,8478249.58
Sucursal Centro,Cabernet Sauvignon,2020,5,5445,16923604.45,12175477.81
Sucursal Centro,Merlot,2020,5,4332,10773823.25,7287875.05
Sucursal Centro,Pinot Noir,2020,5,2830,9334967.78,6326665.52
Sucursal Centro,Chardonnay,2020,5,4635,13954263.29,10691935.44
Sucursal Centro,Sauvignon Blanc,2020,5,3829,9691490.49,6878092.12
Sucursal Sur,Cabernet Sauvignon,2020,5,5350,17303975.66,12173054.16
Sucursal Sur,Merlot,2020,5,3744,9250482.56,6570977.67
Sucursal Sur,Pinot Noir,2020,5,3208,10534391.98,7152688.61
Sucursal Sur,Chardonnay,2020,5,4681,13701822.99,10393529.13
Sucursal Sur,Sauvignon Blanc,2020,5,3402,8749636.75,6329502.43
Sucursal Norte,Cabernet Sauvignon,2020,6,4693,13709545.16,10309295.14
Sucursal Norte,Merlot,2020,6,4243,11653773.79,9185322.17
Sucursal Norte,Pinot Noir,2020,6,2851,10249017.76,6299490.1
Sucursal Norte,Chardonnay,2020,6,4731,13170232.97,10322276.5
Sucursal Norte,Sauvignon Blanc,2020,6,3581,9133999.4,7064720.23
Sucursal Centro,Cabernet Sauvignon,2020,6,5040,16270546.91,12460365.25
Sucursal Centro,Merlot,2020,6,4207,11036418.59,7669983.35
Sucursal Centro,Pinot Noir,2020,6,2849,9453489.6,5728999.0
Sucursal Centro,Chardonnay,2020,6,4056,10969784.24,7164569.85
Sucursal Centro,Sauvignon Blanc,2020,6,3346,9386730.93,6977101.03
Sucursal Sur,Cabernet Sauvignon,2020,6,4770,15358277.36,10551882.23
Sucursal Sur,Merlot,2020,6,3740,9154118.25,7022982.0
Sucursal Sur,Pinot Noir,2020,6,3128,11414249.64,7484538.4
Sucursal Sur,Chardonnay,2020,6,4701,13973200.83,9625683.23
Sucursal Sur,Sauvignon Blanc,2020,6,3711,10442388.97,6452443.0
Sucursal Norte,Cabernet Sauvignon,2020,7,5224,15168764.26,12119743.38
Sucursal Norte,Merlot,2020,7,4299,11219976.3,7504452.56
Sucursal Norte,Pinot Noir,2020,7,3242,12242790.47,9378987.27
Sucursal Norte,Chardonnay,2020,7,4257,11093871.97,8365348.51
Sucursal Norte,Sauvignon Blanc,2020,7,3792,10074195.66,6283595.35
Sucursal Centro,Cabernet Sauvignon,2020,7,4987,16399604.32,12492906.91
Sucursal Centro,Merlot,2020,7,4131,10556064.98,7224580.97
Sucursal Centro,Pinot Noir,2020,7,2808,9706537.17,7162013.24
Sucursal Centro,Chardonnay,2020,7,4884,13076729.73,9431614.07
Sucursal Centro,Sauvignon Blanc,2020,7,3423,8589373.46,5482286.01
Sucursal Sur,Cabernet Sauvignon,2020,7,5056,16580999.91,10100504.13
Sucursal Sur,Merlot,2020,7,4256,10151376.15,6708859.24
Sucursal Sur,Pinot Noir,2020,7,3154,10455493.21,7434704.18
Sucursal Sur,Chardonnay,2020,7,4771,14352486.74,10263486.51
Sucursal Sur,Sauvignon Blanc,2020,7,3431,9702784.27,7251823.49
Sucursal Norte,Cabernet Sauvignon,2020,8,5107,15601991.15,10520393.26
Sucursal Norte,Merlot,2020,8,4218,11204339.15,8641772.54
Sucursal Norte,Pinot Noir,2020,8,3153,10458491.53,6690291.37
Sucursal Norte,Chardonnay,2020,8,4713,14304434.08,8630163.46
Sucursal Norte,Sauvignon Blanc,2020,8,3426,9032527.69,5647780.49
Sucursal Centro,Cabernet Sauvignon,2020,8,5196,15569844.97,11778780.15
Sucursal Centro,Merlot,2020,8,3877,9046460.7,6249907.49
Sucursal Centro,Pinot Noir,2020,8,2947,9735091.82,7553111.17
Sucursal Centro,Chardonnay,2020,8,4934,13880079.39,9589967.79
Sucursal Centro,Sauvignon Blanc,2020,8,3296,8304841.41,5737365.09
Sucursal Sur,Cabernet Sauvignon,2020,8,5241,16522874.17,10236109.81
Sucursal Sur,Merlot,2020,8,4203,10430986.61,7167488.53
Sucursal Sur,Pinot Noir,2020,8,2889,10469335.16,7830781.72
Sucursal Sur,Chardonnay,2020,8,4357,11620592.27,8653934.33
Sucursal Sur,Sauvignon Blanc,2020,8,3437,8077490.08,6332428.49
Sucursal Norte,Cabernet Sauvignon,2020,9,4656,14687690.71,11157910.77
Sucursal Norte,Merlot,2020,9,3839,9846472.64,5939162.52
Sucursal Norte,Pinot Noir,2020,9,3220,10931121.91,7637433.14
Sucursal Norte,Chardonnay,2020,9,4802,13200933.48,8310157.69
Sucursal Norte,Sauvignon Blanc,2020,9,3617,8792406.1,5625201.56
Sucursal Centro,Cabernet Sauvignon,2020,9,4651,13251734.72,8139230.22
Sucursal Centro,Merlot,2020,9,4224,10133128.48,7799611.42
Sucursal Centro,Pinot Noir,2020,9,3237,10454978.24,7814998.11
Sucursal Centro,Chardonnay,2020,9,4824,13825324.31,9441668.53
Sucursal Centro,Sauvignon Blanc,2020,9,3826,10225000.98,7880462.99
Sucursal Sur,Cabernet Sauvignon,2020,9,5167,16128205.59,11861493.24
Sucursal Sur,Merlot,2020,9,3893,9489468.93,5847754.51
Sucursal Sur,Pinot Noir,2020,9,2948,10684236.9,7648870.55
Sucursal Sur,Chardonnay,2020,9,4742,12260984.73,8614571.78
Sucursal Sur,Sauvignon Blanc,2020,9,3419,9503400.16,7291447.33
Sucursal Norte,Cabernet Sauvignon,2020,10,4646,13272330.17,9839902.35
Sucursal Norte,Merlot,2020,10,4179,11130143.34,8572299.14
Sucursal Norte,Pinot Noir,2020,10,2816,9395409.16,6873335.96
Sucursal Norte,Chardonnay,2020,10,4609,12508970.05,8461567.01
Sucursal Norte,Sauvignon Blanc,2020,10,3731,9402360.79,6840478.26
Sucursal Centro,Cabernet Sauvignon,2020,10,4909,14695216.73,9688587.68
Sucursal Centro,Merlot,2020,10,4165,9713764.07,6537166.09
Sucursal Centro,Pinot Noir,2020,10,3173,11921043.54,7448096.23
Sucursal Centro,Chardonnay,2020,10,4391,12114552.3,9379263.24
Sucursal Centro,Sauvignon Blanc,2020,10,3355,8711815.7,6481881.48
Sucursal Sur,Cabernet Sauvignon,2020,10,4511,14623826.36,10282918.39
Sucursal Sur,Merlot,2020,10,4058,10964429.22,8367618.33
Sucursal Sur,Pinot Noir,2020,10,3271,12397824.2,7716355.67
Sucursal Sur,Chardonnay,2020,10,4175,12183474.42,7410685.64
Sucursal Sur,Sauvignon Blanc,2020,10,3387,9209294.61,6288485.71
Sucursal Norte,Cabernet Sauvignon,2020,11,5149,16660186.9,13301253.11
Sucursal Norte,Merlot,2020,11,4360,10893901.18,7335289.52
Sucursal Norte,Pinot Noir,2020,11,3227,10946060.61,8477029.99
Sucursal Norte,Chardonnay,2020,11,4446,12032731.74,9102300.9
Sucursal Norte,Sauvignon Blanc,2020,11,3579,8730793.7,5262452.71
Sucursal Centro,Cabernet Sauvignon,2020,11,5382,15935093.88,12242111.43
Sucursal Centro,Merlot,2020,11,3909,9041381.73,6479343.55
Sucursal Centro,Pinot Noir,2020,11,3220,12097927.78,8861173.26
Sucursal Centro,Chardonnay,2020,11,4497,12690084.22,8007316.91
Sucursal Centro,Sauvignon Blanc,2020,11,3461,8219435.65,6234235.92
Sucursal Sur,Cabernet Sauvignon,2020,11,5374,17370025.42,10910490.82
